"term","name","namespace","n_sig","n_bg","gene_ratio","enrichment","pvalue","genes","padj"
"map05418","Fluid shear stress and atherosclerosis","",3,27,0.0107913669064748,0.954436450839329,0.624560142113933,"Mycgr3G105101;Mycgr3G100643;Mycgr3G105887",0.999460849422621
"map04064","NF-kappa B signaling pathway","",1,8,0.00359712230215827,1.07374100719424,0.629052334524221,"Mycgr3G67035",0.999460849422621
"map04115","p53 signaling pathway","",1,8,0.00359712230215827,1.07374100719424,0.629052334524221,"Mycgr3G100120",0.999460849422621
"map04657","IL-17 signaling pathway","",1,8,0.00359712230215827,1.07374100719424,0.629052334524221,"Mycgr3G67035",0.999460849422621
"map04710","Circadian rhythm","",1,8,0.00359712230215827,1.07374100719424,0.629052334524221,"Mycgr3G66122",0.999460849422621
"map04973","Carbohydrate digestion and absorption","",1,8,0.00359712230215827,1.07374100719424,0.629052334524221,"Mycgr3G70478",0.999460849422621
"map05203","Viral carcinogenesis","",5,47,0.0179856115107914,0.913822133782336,0.65464124290212,"Mycgr3G106182;Mycgr3G84295;Mycgr3G100728;Mycgr3G74671;Mycgr3G59862",0.999460849422621
"map00710","Carbon fixation by Calvin cycle","",2,19,0.00719424460431655,0.904202953426732,0.667542695297537,"Mycgr3G100271;Mycgr3G41530",0.999460849422621
"map03320","PPAR signaling pathway","",2,19,0.00719424460431655,0.904202953426732,0.667542695297537,"Mycgr3G57170;Mycgr3G65163",0.999460849422621
"map04013","MAPK signaling pathway - fly","",2,19,0.00719424460431655,0.904202953426732,0.667542695297537,"Mycgr3G56278;Mycgr3G59862",0.999460849422621
"map04915","Estrogen signaling pathway","",2,19,0.00719424460431655,0.904202953426732,0.667542695297537,"Mycgr3G72449;Mycgr3G59862",0.999460849422621
