"temp","replicate","well","condition","drug_mgL","sham_mM","r_per_h","K","R2","RMSE","n_pts","r_per_h_raw","smooth_h","fit_start","fit_end","o2_used","rule","rule_fallback","overridden","step_shift_mgL","excluded"
27,1,"B3","P2",2,0,0.0621895493252495,0.000894528843409015,0.997972161878706,0.0787066040868016,2031,0.0781287951668075,12,396.4,2432.5,5.90559639389736,"manual (03_trim_selector.R)",FALSE,FALSE,0.895,FALSE
27,1,"D1","P2S",2,0.2,0.0147977006282812,0.00140752189057724,0.999452914358978,0.0444345637888376,3110,0.014542281904357,12,399.4,3519.2,6.31488904299582,"manual (03_trim_selector.R)",FALSE,FALSE,-0.015,FALSE
27,1,"D2","P2S",2,0.2,0.0182246120437766,0.00133417413726781,0.998634520884567,0.0735091829795431,3110,0.0172467080278746,12,399.4,3519.2,6.95202496532594,"manual (03_trim_selector.R)",FALSE,FALSE,-0.14,FALSE
27,1,"D3","P2S",2,0.2,0.0130919728663451,0.00149517312354412,0.999277184104507,0.0516865680249458,3110,0.0126886752489319,12,399.4,3519.2,6.31259361997227,"manual (03_trim_selector.R)",FALSE,FALSE,-0.11,FALSE
27,1,"B4","P4",4,0,0.0556043549086943,0.0010581538814889,0.998081450879743,0.0797315359236436,2043,0.0681652284175526,12,399.4,2447.6,6.08923717059639,"manual (03_trim_selector.R)",FALSE,FALSE,1.035,FALSE
27,1,"B5","P4",4,0,0.0727692224637576,0.000890305049321125,0.998270218152943,0.0797516553164623,1928,0.0920323155265959,12,399.4,2333.2,6.61088072122053,"manual (03_trim_selector.R)",FALSE,FALSE,1.845,FALSE
27,1,"B6","P4",4,0,0.053877987633511,0.00105154168733349,0.998093002561517,0.0795679740054132,2085,0.0615688951922749,12,399.4,2489.7,6.05288488210819,"manual (03_trim_selector.R)",FALSE,FALSE,0.97,FALSE
27,1,"D4","P4S",4,0.2,0.0129843136910326,0.00138999271650057,0.999261519747177,0.0484209416948105,3110,0.0118457466668512,12,399.4,3519.2,5.8916504854369,"manual (03_trim_selector.R)",FALSE,FALSE,-0.12,FALSE
27,1,"D5","P4S",4,0.2,0.0121621709182455,0.00144902244088671,0.999307060992051,0.0477725861229847,3110,0.0107311391237411,12,399.4,3519.2,5.97459778085992,"manual (03_trim_selector.R)",FALSE,FALSE,-0.045,FALSE
27,1,"D6","P4S",4,0.2,0.0141150953337107,0.0014227120176912,0.998820022426482,0.0647078989065847,3110,0.0129119335796207,12,399.4,3519.2,6.1384327323162,"manual (03_trim_selector.R)",FALSE,FALSE,0.13,FALSE
27,2,"A1","V",0,0,0.0532556066839703,0.00130354945211234,0.997875714359481,0.0796752786337245,1844,0.0491730464304316,12,444.6,2294.2,5.71185852981968,"manual (03_trim_selector.R)",FALSE,FALSE,-0.33,FALSE
27,2,"A2","V",0,0,0.044138428027865,0.00118865378848886,0.998246400164489,0.0790086137222228,2216,0.0494956003288009,12,382.4,2605.6,6.22324549237167,"manual (03_trim_selector.R)",FALSE,FALSE,-0.09,FALSE
27,2,"A3","V",0,0,0.0675962075427894,0.00100337927155432,0.999044319935496,0.0786528714832903,2150,0.0822050352018526,12,399.4,2556.4,8.71851595006935,"manual (03_trim_selector.R)",FALSE,FALSE,1.86,FALSE
27,2,"A4","V",0,0,0.0631260468377988,0.00121257075282758,0.999098895972251,0.0782796660555353,2097,0.0712624148267519,12,399.4,2501.7,8.84882108183075,"manual (03_trim_selector.R)",FALSE,FALSE,1.81,FALSE
27,2,"A5","V",0,0,0.0687200774853992,0.0010424115332926,0.999027311655504,0.0781762401984024,2085,0.0771345039565219,12,399.4,2489.7,8.55429958391122,"manual (03_trim_selector.R)",FALSE,FALSE,1.945,FALSE
27,2,"C1","S",0,0.2,0.0255009435492677,0.00135029967082154,0.998889576001193,0.079431634536864,3026,0.0254942517449638,12,399.4,3435,7.79412621359217,"manual (03_trim_selector.R)",FALSE,FALSE,-0.265,FALSE
27,2,"C2","S",0,0.2,0.0283660550518809,0.00141329780604303,0.998655534312879,0.0797113436338612,2672,0.0269867183321578,12,444.6,3125.2,7.22484049930651,"manual (03_trim_selector.R)",FALSE,FALSE,0.59,FALSE
27,2,"C3","S",0,0.2,0.0401339095478256,0.00114889173872474,0.997992613295599,0.0799137433005149,2295,0.0421802040534689,12,399.4,2700.9,5.90679611650492,"manual (03_trim_selector.R)",FALSE,FALSE,0.895,FALSE
27,2,"C4","S",0,0.2,0.0404739711726676,0.00118941255301587,0.998276865950324,0.0791483583042523,2324,0.0423931251875821,12,399.4,2730.9,6.31151178918168,"manual (03_trim_selector.R)",FALSE,FALSE,1,FALSE
27,2,"C5","S",0,0.2,0.06527937428827,0.000807660097290302,0.998330495257628,0.0781999205548165,2138,0.0731614586363351,12,399.4,2544.4,6.3990776699029,"manual (03_trim_selector.R)",FALSE,FALSE,1.985,FALSE
27,2,"B1","P2",2,0,0.028942620687057,0.00166824338034603,0.998896628750292,0.0798802618302345,2552,0.031176748845222,12,381.4,2941.6,7.97663661581133,"manual (03_trim_selector.R)",FALSE,FALSE,1.065,FALSE
27,2,"B2","P2",2,0,0.0716524986591558,0.00101442967156372,0.998772396655483,0.0789263923042754,1970,0.0875699951197788,12,399.4,2375.3,7.80765603328707,"manual (03_trim_selector.R)",FALSE,FALSE,2.455,FALSE
27,2,"B3","P2",2,0,0.0661544502912078,0.00100914464238447,0.998688683060066,0.07946086588605,2049,0.0773467795715381,12,399.4,2453.6,7.51900138696256,"manual (03_trim_selector.R)",FALSE,FALSE,2.56,FALSE
27,2,"D1","P2S",2,0.2,0.0138044323616565,0.00139359121854717,0.998784484335288,0.0637650674084825,3110,0.0143376855219492,12,399.4,3519.2,5.97174063800281,"manual (03_trim_selector.R)",FALSE,FALSE,-0.065,FALSE
27,2,"D2","P2S",2,0.2,0.0194661582614263,0.00134512066459053,0.999365337087784,0.0523822732484783,3110,0.0186645174397721,12,399.4,3519.2,7.13635228848822,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
27,2,"D3","P2S",2,0.2,0.0179199525009236,0.00137081564597742,0.999168499566537,0.0584003671986174,3110,0.0168421228586065,12,399.4,3519.2,6.97973647711509,"manual (03_trim_selector.R)",FALSE,FALSE,-0.1,FALSE
27,2,"B4","P4",4,0,0.0627572912893562,0.00106304808352035,0.998702180386977,0.0788409273779202,2066,0.0721891287063901,12,399.4,2471.6,7.40314840499306,"manual (03_trim_selector.R)",FALSE,FALSE,2.415,FALSE
