"temp","replicate","condition","well","drug_mgL","sham_mM","rule","smooth_h","step_time_h","step_mgL","fit_start_min","fit_end_min","window_h","rule_start_min","rule_end_min","overridden","override_reason","rule_fallback","n_points","o2_at_start","o2_consumed"
27,2,"P4","B6",4,0,"manual (03_trim_selector.R)",12,40.98,0.145,429.5,2989.8,42.6716666666667,411.47,2571.47,FALSE,"",FALSE,2553,10.1846324549237,7.35895284327323
27,2,"P4S","D4",4,0.2,"manual (03_trim_selector.R)",12,40.98,-0.08,399.4,3519.2,51.9966666666667,418.5,2578.5,FALSE,"",FALSE,3110,10.2967961165049,6.53865464632456
27,2,"P4S","D5",4,0.2,"manual (03_trim_selector.R)",12,40.96,-0.01,399.4,3519.2,51.9966666666667,419.5,2579.5,FALSE,"",FALSE,3110,10.0568932038835,6.55908460471569
27,2,"P4S","D6",4,0.2,"manual (03_trim_selector.R)",12,40.98,-0.09,399.4,3519.2,51.9966666666667,419.5,2579.5,FALSE,"",FALSE,3110,10.4490984743412,6.07823855755894
27,3,"V","A1",0,0,"manual (03_trim_selector.R)",12,41.01,1.47,399.4,2267.1,31.1283333333333,400.43,2238.97,FALSE,"",FALSE,1863,9.84975034674065,7.5203328710125
27,3,"V","A2",0,0,"manual (03_trim_selector.R)",12,41.04,0.97,399.4,2273.1,31.2283333333333,404.45,2371.33,FALSE,"",FALSE,1869,10.4169902912621,7.35488210818308
27,3,"V","A3",0,0,"manual (03_trim_selector.R)",12,41.04,1.01,394.4,2280.1,31.4283333333333,394.42,2238.97,FALSE,"",FALSE,1881,10.0930513176144,7.81725381414699
27,3,"V","A4",0,0,"manual (03_trim_selector.R)",12,41.04,0.775,399.4,2261,31.0266666666667,402.45,2478.63,FALSE,"",FALSE,1856,11.1223855755895,7.50412621359226
27,3,"V","A5",0,0,"manual (03_trim_selector.R)",12,40.99,1.53,392.4,2272.1,31.3283333333333,392.42,2295.15,FALSE,"",FALSE,1875,10.3982524271844,7.75696255201105
27,3,"S","C1",0,0.2,"manual (03_trim_selector.R)",12,41.01,-0.06,399.4,3350.8,49.19,441.55,2601.55,FALSE,"",FALSE,2942,10.9309986130375,7.90934812760061
27,3,"S","C2",0,0.2,"manual (03_trim_selector.R)",12,41.01,1.325,399.4,2538.4,35.65,551.93,2711.93,FALSE,"",FALSE,2133,11.0642718446602,5.01157420249653
27,3,"S","C3",0,0.2,"manual (03_trim_selector.R)",12,40.99,0.905,399.4,2700.9,38.3583333333333,447.57,2607.57,FALSE,"",FALSE,2295,9.68672676837726,6.30039528432733
27,3,"S","C4",0,0.2,"manual (03_trim_selector.R)",12,40.98,1.36,399.4,2622.6,37.0533333333333,435.53,2595.53,FALSE,"",FALSE,2216,10.0170041608877,6.230319001387
27,3,"S","C5",0,0.2,"manual (03_trim_selector.R)",12,40.98,1.88,399.4,2495.7,34.9383333333333,462.62,2622.62,FALSE,"",FALSE,2091,10.5813314840499,5.87862690707352
27,3,"P2","B1",2,0,"manual (03_trim_selector.R)",12,41.04,0.425,399.4,2375.3,32.9316666666667,404.45,2564.45,FALSE,"",FALSE,1970,11.1674341192788,6.77895284327325
27,3,"P2","B2",2,0,"manual (03_trim_selector.R)",12,40.69,-0.19,399.4,2351.3,32.5316666666667,411.47,2571.47,FALSE,"",FALSE,1947,10.6194313453537,6.50108183079059
27,3,"P2","B3",2,0,"manual (03_trim_selector.R)",12,42.86,0.36,389.4,2461.6,34.5366666666667,389.38,2549.38,FALSE,"",FALSE,2066,8.41130374479895,4.84496532593626
27,3,"P2S","D1",2,0.2,"manual (03_trim_selector.R)",12,40.96,-0.025,399.4,3519.2,51.9966666666667,402.45,2562.45,FALSE,"",FALSE,3110,10.2826629680999,6.71418169209434
27,3,"P2S","D2",2,0.2,"manual (03_trim_selector.R)",12,40.96,-0.09,399.4,3519.2,51.9966666666667,407.45,2567.45,FALSE,"",FALSE,3110,10.6339389736477,6.07209431345355
27,3,"P2S","D3",2,0.2,"manual (03_trim_selector.R)",12,40.98,-0.125,399.4,3519.2,51.9966666666667,411.47,2571.47,FALSE,"",FALSE,3110,11.3434812760055,6.04623439667129
27,3,"P4","B4",4,0,"manual (03_trim_selector.R)",12,41.01,1.335,399.4,2393.4,33.2333333333333,411.47,2571.47,FALSE,"",FALSE,1989,9.81149791955613,6.51784327323159
27,3,"P4","B5",4,0,"manual (03_trim_selector.R)",12,40.99,1.32,391.4,2433.5,34.035,391.4,2551.4,FALSE,"",FALSE,2037,10.3190152565881,6.37375866851597
27,3,"P4","B6",4,0,"manual (03_trim_selector.R)",12,40.98,2.48,399.4,2453.6,34.2366666666667,400.43,2560.43,FALSE,"",FALSE,2049,10.7258945908461,7.11808599167823
27,3,"P4S","D4",4,0.2,"manual (03_trim_selector.R)",12,40.96,-0.1,399.4,3519.2,51.9966666666667,405.45,2565.45,FALSE,"",FALSE,3110,10.1829264909848,5.42554785020808
27,3,"P4S","D5",4,0.2,"manual (03_trim_selector.R)",12,40.98,-0.07,399.4,3519.2,51.9966666666667,414.48,2574.48,FALSE,"",FALSE,3110,10.1978085991678,5.71500693481275
27,3,"P4S","D6",4,0.2,"manual (03_trim_selector.R)",12,40.96,-0.005,444.6,3522.3,51.295,433.53,2593.53,FALSE,"",FALSE,3068,11.1803606102635,5.91323855755892
