T,Dose,Replicate,r,K,O2_0,T_end_min,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,cell_volume_um3,cell_carbon_fg,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
21,Control,R2,9.162695041207427e-4,4.570520494527557e-4,8.458106142115701,2562,470.4,10000000,15388158.233192306,4.718425197273949,158861279878.44946,2.97015433898316e-11,339.52108105202194,33952.10810520219,1866.5568754444475,1782.092603389896,0.054976170247244556,0.05248842274735928,0.5115747309442199,0.9547486212899676
21,Control,R3,9.564766312282852e-4,3.673960742919057e-4,8.320620658174242,2701,246.2,10000000,12655218.245017737,4.702576942195931,161983596673.3649,2.9031192285960518e-11,339.52108105202194,33952.10810520219,1948.4638790137408,1741.871537157631,0.05738859787369711,0.05130378154311835,0.5279909979118435,0.8939716850380203
24,0.06,R1,9.89592192341942e-4,5.922967203466961e-4,7.889945365500784,2065,292.1,10000000,13351716.7539113,4.020679210819705,90635264618.35114,4.4361090881679057e-11,339.52108105202194,33952.10810520219,2015.9244656674591,2661.6654529007433,0.059375531540516516,0.0783947036411833,0.4309750321773671,1.3203200309489194
24,0.06,R2,0.0010359149547256893,2.6332680516199896e-4,7.941375921403308,2757,278.9,10000000,13349804.944852415,4.1668342986468225,211244825950.15176,1.9725142520792845e-11,339.52108105202194,33952.10810520219,2110.2897918385343,1183.5085512475707,0.06215489728354136,0.03485817574509407,0.640685789483187,0.5608275014288299
24,0.06,R3,9.634238399425635e-4,5.797937903261168e-4,8.506922382262017,2081,375.4,10000000,14357240.831548437,3.866744950735994,95750919409.9243,4.038337150771231e-11,339.52108105202194,33952.10810520219,1962.6162218915356,2423.002290462738,0.05780543039655381,0.07136529734633715,0.44751184271109123,1.2345777352882013
24,0.12,R1,8.426214753250284e-4,5.901212998608999e-4,7.967756132061687,2409,255.7,10000000,12404302.698461363,4.6314416814423245,97352535081.2167,4.757391964758316e-11,339.52108105202194,33952.10810520219,1716.5265253200193,2854.4351788549898,0.0505572885195017,0.08407239898065796,0.37552852909535084,1.6629135272598397
24,0.12,R2,8.674262537491572e-4,7.287693075023959e-4,9.609384497609325,2115,364.6,10000000,13719918.81643797,4.4214386717791605,83238658659.44139,5.311761077108198e-11,339.52108105202194,33952.10810520219,1767.056996434916,3187.056646264919,0.05204557522494944,0.0938691829205325,0.35668479245298984,1.8035958391239726
24,0.12,R3,0.001533849757387598,4.0996335997402417e-4,8.025764848740884,1868.0000000000002,315.1,10000000,16214422.947404075,4.424272998928788,174984012336.9965,2.5283869879541982e-11,339.52108105202194,33952.10810520219,3124.645966797713,1517.032192772519,0.09203098544325589,0.04468153164663367,0.6731716115119495,0.48550530488650734
24,0.25,R1,8.784546803029073e-4,0.0010354522990711173,8.370488605181922,1776.0000000000002,347.2,10000000,13566242.77213628,4.431358809339057,58058579300.918076,7.632565010540972e-11,339.52108105202194,33952.10810520219,1789.5232962699083,4579.539006324583,0.05270728081817444,0.13488231694287342,0.2809712342648824,2.559083201582342
24,0.25,R2,7.778063843917008e-4,5.684938196530528e-4,7.779159924995997,2542,475.2,10000000,14471753.091898719,4.547894864339011,115772607000.01169,3.928299605742274e-11,339.52108105202194,33952.10810520219,1584.4899868670086,2356.9797634453644,0.04666838306350205,0.06942071921254941,0.4020048578937928,1.487532128938088
24,0.25,R3,7.68237537368804e-4,5.472247074068885e-4,8.172870231417859,2580,384.2,10000000,13433370.605063202,4.4573815539893165,109420604611.67926,4.073621755068924e-11,339.52108105202194,33952.10810520219,1564.9970351531965,2444.1730530413543,0.04609425224212824,0.07198884515412032,0.39035436280478725,1.561774877613168
24,0.5,R1,6.791549604586552e-4,6.017626857849425e-4,8.078132907233552,2695,257,10000000,11907017.329018446,4.639247766015609,91796325775.00735,5.0538490803939126e-11,339.52108105202194,33952.10810520219,1383.5245582605949,3032.3094482363476,0.04074929762751931,0.08931137468226112,0.313309910704306,2.191727953169585
24,0.5,R2,6.016758391219255e-4,7.635370616639055e-4,8.277496157643064,2625,447.2,10000000,13087460.110050706,4.888304513393644,83788323497.2305,5.834111853968793e-11,339.52108105202194,33952.10810520219,1225.6897880493514,3500.467112381276,0.03610055034731553,0.10310014039584568,0.25934174718949166,2.855916029089354
24,0.5,R3,6.296000193749809e-4,8.281207802537547e-4,7.860851574666813,2328,475.9,10000000,13493549.308052972,4.380795471025111,71381471285.69711,6.137160515354777e-11,339.52108105202194,33952.10810520219,1282.5748752514046,3682.2963092128666,0.03777600116249885,0.1084556015727536,0.2583299400122904,2.8710185894535627
24,1,R1,7.081477874797053e-4,9.154423492744744e-4,8.214146475428958,2231,468.2,10000000,13931324.796246188,4.982641204818569,75826504009.23772,6.571107648865823e-11,339.52108105202194,33952.10810520219,1442.586614098242,3942.664589319493,0.04248886724878232,0.11612429417057,0.2678773114952759,2.733052248501588
