Unnamed: 0,ID,Ts,r
327,14,21.510000000000048,0.682056
328,14,22.71000000000004,0.844128
329,14,24.110000000000014,0.997992
330,14,25.410000000000025,1.152288
331,14,26.71000000000004,1.23534
332,14,27.910000000000025,1.545192
333,14,29.31,1.491444
334,14,30.610000000000014,1.732608
335,14,32.110000000000014,1.87794
336,14,33.610000000000014,2.013408
337,14,35.01000000000005,2.128428
338,14,36.71000000000004,2.351088
339,14,38.01000000000005,2.390436
340,14,40.110000000000014,2.600784
341,14,41.910000000000025,2.583972
342,14,43.610000000000014,2.604168
343,14,45.610000000000014,2.19618
344,14,47.410000000000025,0.752256
345,15,8.910000000000025,0.04572
346,15,11.410000000000023,0.08892
347,15,12.810000000000002,0.15696
348,15,14.310000000000002,0.22716
349,15,15.810000000000002,0.31932
350,15,17.210000000000036,0.34884
351,15,18.71000000000004,0.456948
352,15,20.110000000000014,0.52092
353,15,21.410000000000025,0.67176
354,15,22.610000000000014,0.787212
355,15,24.110000000000014,0.875772
356,15,25.510000000000048,1.0359
357,15,26.71000000000004,1.133568
358,15,28.110000000000014,1.307196
359,15,29.610000000000014,1.492164
360,15,30.81,1.737612
361,15,32.01000000000005,1.763676
362,15,33.610000000000014,1.832076
363,15,35.110000000000014,1.993356
364,15,36.71000000000004,2.100852
365,15,38.21000000000004,2.312136
366,15,39.910000000000025,2.28834
