sub,bigg,mnx,sm2
nicotinic acid D-ribonucleotide,nicrnt,MNXM194,O=C([O-])c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1
quinolinate,quln,MNXM555,O=C([O-])c1cccnc1C(=O)[O-]
dCDP,dcdp,MNXM411,C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O
dTDP,dtdp,MNXM152,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O
dIDP,didp,MNXM2174,C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)O)O
dITP,ditp,MNXM1325,C1C(C(OC1N2C=NC3=C2N=CNC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dUDP,dudp,MNXM572,C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O
O-succinyl-L-homoserine,suchms,MNXM820,C(COC(=O)CCC(=O)O)C(C(=O)O)N
ornithine,orn,MNXM89689,[NH3+]CCC[C@H]([NH3+])C(=O)[O-]
N(2)-acetyl-L-ornithine,acorn,MNXM817,CC(=O)N[C@@H](CCC[NH3+])C(=O)[O-]
orotidine 5'-(dihydrogen phosphate),orot5p,MNXM519,O=C([O-])c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
orotate,orot,MNXM235,C1=C(NC(=O)NC1=O)C(=O)[O-]
S(8)-succinyldihydrolipoamide,sdhlam,MNXM3710,NC(=O)CCCC[C@@H](CCS)SC(=O)CCC(=O)[O-]
pantetheine 4'-phosphate,pan4p,MNXM373,CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
(R)-pantothenate,pnto__R,MNXM364,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-]
(R)-pantoate,pant__R,MNXM593,CC(C)(CO)C(C(=O)[O-])O
L-phenylalanine,phe__L,MNXM97,C1=CC=C(C=C1)CC(C(=O)O)N
keto-phenylpyruvate,phpyr,MNXM162242,C1=CC=C(C=C1)CC(=O)C(=O)[O-]
5'-phosphoribosyl-N-formylglycineamidine,fpram,MNXM568,[NH2+]=C(CNC=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
N-acetyl-D-glucosamine 6-phosphate,acgam6p,MNXM63556,CC(=O)N[C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O
N-acetyl-alpha-D-glucosamine 1-phosphate,acgal1p,MNXM340,CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)O
3'-phospho-5'-adenylyl sulfate,paps,MNXM49,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
O-phosphoethanolamine,ethamp,MNXM187,[NH3+]CCOP(=O)([O-])[O-]
D-glucose 1-phosphate,g1p,MNXM89588,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
6-phospho-D-gluconate,6pgc,MNXM325,C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
alpha-D-glucosamine 1-phosphate,gam1p,MNXM969,[NH3+][C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO)[C@@H](O)[C@@H]1O
alpha-D-glucosamine 6-phosphate,gam6p,MNXM370,C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O
3-phosphonato-D-glycerate(3-),3pg,MNXM126,O=C([O-])[C@H](O)COP(=O)([O-])[O-]
4-amino-2-methyl-5-phosphomethylpyrimidine,4ampm,MNXM790,Cc1nc(N)c(COP(=O)([O-])[O-])c[nH+]1
(R)-5-phosphomevalonic acid,5pmev,MNXM567,C[C@@](O)(CCOP(=O)([O-])[O-])CC(=O)[O-]
(R)-4'-phosphopantothenic acid,4ppan,MNXM415,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)[O-]
N-[(R)-4-phosphonopantothenoyl]-L-cysteine,4ppcys,MNXM483,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)[O-]
alpha-D-ribose 1-phosphate(2-),r1p,MNXM295,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ribose-5-phosphate,r5p,MNXM15900,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O
phosphoribosyl-carboxy-aminoimidazole,5aizc,MNXM507,Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
1-(5-phosphoribosyl)-5'-AMP,prbamp,MNXM1515,N=c1c2ncn(C3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
5-phosphoribosyl-ATP,prbatp,MNXM1351,N=c1c2ncn(C3O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
5'-phosphoribosyl-5-aminoimidazole,air,MNXM388,Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
N-(5-phospho-beta-D-ribosyl)anthranilate,pran,MNXM1489,O=C([O-])c1ccccc1N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
5-phosphoribosylamine,pram,MNXM90003,[NH3+][C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
