sub,bigg,mnx,sm2
ferricytochrome c,ficytc,MNXM5749,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O
"(R,R)-2,3-butanediol",btd_RR,MNXM2757,C[C@@H](O)[C@@H](C)O
(R)-acetoin,actn__R,MNXM664,CC(C(=O)C)O
UDP-D-glucose,udpg,MNXM722710,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide,prfp,MNXM1397,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
1-pyrroline-5-carboxylate,1pyr5c,MNXM1617,C1CC(N=C1)C(=O)O
"5-(methylsulfanyl)-2,3-dioxopentyl phosphate",dkmpp,MNXM162358,CSCCC(=O)C(=O)COP(=O)([O-])[O-]
"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone",25dthpp,MNXM1099,Nc1nc(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c(N)c(=O)[nH]1
"2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine",25drapp,MNXM648,Nc1nc(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(N)c(=O)[nH]1
2-oxobutanoate,2obut,MNXM159,CCC(=O)C(=O)[O-]
"2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol",6hmhpt,MNXM937,Nc1nc(O)c2c(n1)NCC(CO)=N2
2-oxoadipic acid,2oxoadp,MNXM263,O=C([O-])CCCC(=O)C(=O)[O-]
L-2-aminoadipate,L2aadp,MNXM268,C(CC(C(=O)O)N)CC(=O)O
2-dehydropantoate,2dhp,MNXM959,CC(C)(CO)C(=O)C(=O)O
D-erythrose 4-phosphate,e4p,MNXM258,C(C(C(C=O)O)O)OP(=O)(O)O
"2-hexaprenyl-6-methoxy-1,4-benzoquinone",2hp6mbq,MNXM6707,COC1=CC(=O)C=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
2-hexaprenyl-6-methoxyphenol,2hp6mp,MNXM4291,COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O
2-isopropylmaleic acid,2ippm,MNXM1706,CC(C)/C(=C/C(=O)[O-])C(=O)[O-]
2-isopropylmalate,3c3hmp,MNXM164143,CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]
acetyl-CoA,accoa,MNXM21,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
4-methylthio-2-oxobutanoate,4met2obut,MNXM276,CSCCC(=O)C(=O)O
homocitrate,s,MNXM722779,O=C([O-])CC[C@@](O)(CC(=O)[O-])C(=O)[O-]
"but-1-ene-1,2,4-tricarboxylic acid",b124tc,MNXM920,O=C([O-])/C=C(/CCC(=O)[O-])C(=O)[O-]
propionyl-CoA,ppcoa,MNXM86,CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
"adenosine 3',5'-bismonophosphate",pap,MNXM45,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
"3',5'-cyclic AMP",camp,MNXM243,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
D-ribulose 5-phosphate,ru5p__D,MNXM145,C(C(C(C(=O)CO)O)O)OP(=O)(O)O
3-dehydroquinate,3dhq,MNXM478,C1C(C(C(=O)CC1(C(=O)[O-])O)O)O
7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,2dda7p,MNXM1219,O=C([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
3-ketosphinganine,3dsphgn,MNXM559,CCCCCCCCCCCCCCCC(=O)[C@@H]([NH3+])CO
3-hexaprenyl-4-hydroxybenzoic acid,3ophb_5,MNXM3167,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])ccc1O
3-hydroxy-L-kynurenine,hLkynr,MNXM576,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
(S)-3-hydroxytetradecanoyl-CoA,3htdcoa,MNXM767,CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-hydroxyanthranilate,3hanthrn,MNXM359,Nc1c(O)cccc1C(=O)[O-]
"(2R,3S)-3-isopropylmalate",3c2hmp,MNXM891,CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
3-methyl-2-oxobutanoate,3mob,MNXM238,CC(C)C(=O)C(=O)O
"5,10-methylenetetrahydrofolate",mlthf,MNXM183,C1C2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
(S)-3-methyl-2-oxopentanoate,3mop,MNXM439,CC[C@H](C)C(=O)C(=O)[O-]
3-phosphoshikimic acid,skm5p,MNXM1265,O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)C1
chorismate,chor,MNXM337,C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O
2-oxoglutarate,akg,MNXM20,C(CC(=O)O)C(=O)C(=O)O
4-(phosphonooxy)-L-threonine,phthr,MNXM759,[NH3+][C@H](C(=O)[O-])[C@H](O)COP(=O)([O-])[O-]
4-methyl-2-oxopentanoate,4mop,MNXM404,CC(C)CC(=O)C(=O)O
4-diphospho-1D-myo-inositol pentakisphosphate,s,MNXM1715,O=P([O-])([O-])O[C@H]1[C@@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])OP(=O)([O-])O)[C@@H]1OP(=O)([O-])[O-]
5'-S-methyl-5'-thioadenosine,5mta,MNXM150,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
5'-phosphoribosyl-N-formylglycineamide,fgam,MNXM453,O=CNCC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
succinyl-CoA,succoa,MNXM92,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O)O
myo-inositol hexakisphosphate,minohp,MNXM491,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O
5-methyltetrahydropteroyltri-L-glutamic acid,mhpglu,MNXM2623,CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-])cc1
S-methyl-5-thio-D-ribulose 1-phosphate,5mdru1p,MNXM522,CSC[C@@H](O)[C@@H](O)C(=O)COP(=O)([O-])[O-]
S-methyl-5-thio-alpha-D-ribose 1-phosphate,5mdr1p,MNXM407,CSC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O
5-diphospho-1D-myo-inositol pentakisphosphate,ppmi12346p,MNXM1715,O=P([O-])([O-])O[C@H]1[C@@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])OP(=O)([O-])O)[C@@H]1OP(=O)([O-])[O-]
"4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate",s,MNXM484827,O=P(O)(O)O[C@@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)OP(=O)(O)O)[C@H](O[PH](=O)(=O)OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@@H]1OP(=O)(O)O
"5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate",s,MNXM487477,O=P([O-])([O-])O[C@@H]1[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](OP(=O)([O-])[O-])[C@@H]1OP(=O)([O-])[O-]
D-fructose 6-phosphate,f6p,MNXM162235,C(C(C(C(C(=O)CO)O)O)O)OP(=O)(O)O
"6-O-phosphono-D-glucono-1,5-lactone",6pgl,MNXM429,O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
6-diphospho-1D-myo-inositol pentakisphosphate,s,MNXM1715,O=P([O-])([O-])O[C@H]1[C@@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])OP(=O)([O-])O)[C@@H]1OP(=O)([O-])[O-]
acetaldehyde,acald,MNXM75,CC=O
2-acetyllactic acid,s,MNXM426,CC(=O)C(C)(O)C(=O)[O-]
pyruvate,pyr,MNXM23,CC(=O)C(=O)[O-]
acetyl-ACP,acACP,MNXM1269,
3-oxooctadecanoyl-CoA,3ohodcoa,MNXM513,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxohexacosanoyl-CoA,3ohxccoa,MNXM36758,CCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxopalmitoyl-CoA,3ohdcoa,MNXM738,CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
acetoacetyl-CoA,aacoa,MNXM133,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxotetradecanoyl-CoA,3otdcoa,MNXM707,CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxodecanoyl-CoA,3odcoa,MNXM677,CCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxolauroyl-CoA,3oddcoa,MNXM705,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
acetate,ac,MNXM26,CC(=O)[O-]
N-acetyl-L-glutamate,acglu,MNXM730,CC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]
2-methylcitrate,2mcit,MNXM90279,C[C@H](C(=O)[O-])[C@](O)(CC(=O)[O-])C(=O)[O-]
"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid",micit,MNXM1694,C[C@](O)(C(=O)[O-])[C@H](CC(=O)[O-])C(=O)[O-]
2-acetamido-5-oxopentanoate,acg5sa,MNXM1062,CC(=O)N[C@@H](CCC=O)C(=O)[O-]
decanoyl-CoA,dccoa,MNXM486,CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
lauroyl-CoA,ddcacoa,MNXM363,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
hexacosanoyl-CoA,hexccoa,MNXM1190,
palmitoyl-CoA,pmtcoa,MNXM88,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
stearoyl-CoA,stcoa,MNXM272,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
myristoyl-CoA,tdcoa,MNXM224,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
oleoyl-CoA,ocdce9coa,MNXM686,CCCCCCCCC=CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
episteryl oleate,s,MNXM52367,
fecosteryl oleate,s,MNXM53170,
zymosteryl oleate,s,MNXM89472,
palmitoleoyl-CoA(4-),hdcoa,MNXM781,CCCCCC/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
episteryl palmitoleate,s,MNXM52369,
ergosteryl palmitoleate,s,MNXM52467,
fecosteryl palmitoleate,s,MNXM53171,
lanosteryl palmitoleate,s,MNXM59727,
zymosteryl palmitoleate,s,MNXM89473,
6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol,s,MNXM38512,
adenine,ade,MNXM168,C1=NC2=NC=NC(=C2N1)N
adenosine,adn,MNXM212,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
S-adenosyl-L-homocysteine,ahcys,MNXM19,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
S-adenosyl-L-methionine,amet,MNXM16,C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
S-adenosyl-4-methylthio-2-oxobutanoate,amob,MNXM3090,C[S+](CCC(=O)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole,25aics,MNXM607,Nc1c(C(=O)NC(CC(=O)[O-])C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
adenylo-succinate,dcamp,MNXM565,O=C([O-])CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)[O-]
fumarate,fum,MNXM93,C(=CC(=O)[O-])C(=O)[O-]
L-aspartate,asp__L,MNXM42,C(C(C(=O)O)N)C(=O)O
5'-adenylyl sulfate,aps,MNXM287,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](O)[C@H]1O
L-alanine,ala__L,MNXM32,CC(C(=O)O)N
ethanol,etoh,MNXM303,CCO
D-glyceraldehyde,glyald,MNXM435,C(C(C=O)O)O
2-methylbutanal,2mbald,MNXM2604,CCC(C)C=O
phenylacetaldehyde,pacald,MNXM473,C1=CC=C(C=C1)CC=O
3-aminopropanal,aproa,MNXM493,C(CN)C=O
indol-3-ylacetaldehyde,id3acald,MNXM518,O=CCc1c[nH]c2ccccc12
3-methylbutanal,3mbald,MNXM5280,CC(C)CC=O
isobutyraldehyde,2mppal,MNXM5189,CC(C)C=O
"7,8-dihydroneopterin 3'-triphosphate",ahdt,MNXM397,C1C(=NC2=C(N1)N=C(NC2=O)N)C(C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
allantoate,alltt,MNXM584,C(C(=O)[O-])(NC(=O)N)NC(=O)N
ureidoglycolic acid,urdglyc,MNXM490,NC(=O)NC(O)C(=O)[O-]
allantoin,alltn,MNXM612,NC(=O)NC1NC(=O)NC1=O
urea-1-carboxylic acid,allphn,MNXM1122,NC(=O)NC(=O)[O-]
beta-D-mannosyldiacetylchitobiosyldiphosphodolichol,mpdol,MNXM1078,
trehalose,tre,MNXM198,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O
maltose,malt,MNXM165,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
4-guanidinobutanamide,4gudbd,MNXM2617,NC(=[NH2+])NCCCC(N)=O
4-aminobutanal,4abutn,MNXM422,C(CC=O)CN
anthranilate,anth,MNXM188,C1=CC=C(C(=C1)C(=O)O)N
"P(1),P(4)-bis(5'-adenosyl) tetraphosphate",ap4a,MNXM1089,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
L-arabinose,arab__L,MNXM461,C1C(C(C(C(O1)O)O)O)O
L-arginine,arg__L,MNXM70,C(CC(C(=O)O)N)CN=C(N)N
(N(omega)-L-arginino)succinic acid,argsuc,MNXM722743,[NH2+]=C(NCCC[C@H]([NH3+])C(=O)[O-])NC(CC(=O)[O-])C(=O)[O-]
L-citrulline,citr__L,MNXM211,NC(=O)NCCC[C@H]([NH3+])C(=O)[O-]
L-glutamine,gln__L,MNXM37,C(CC(=O)N)C(C(=O)O)N
L-asparagine,asn__L,MNXM147,C(C(C(=O)O)N)C(=O)N
L-glutamate,glu__L,MNXM89557,C(CC(=O)O)C(C(=O)O)N
4-phospho-L-aspartate,4pasp,MNXM1177,[NH3+][C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-]
PRPP,prpp,MNXM91,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O
"N,N'-diacetylchitobiosyldiphosphodolichol",chito2pdol,MNXM63078,
dethiobiotin,dtbt,MNXM1020,CC1NC(=O)NC1CCCCCC(=O)[O-]
biotin,btn,MNXM304,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol",44mctr,MNXM1036,CC(C)=CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
"ergosta-5,7,24(28)-trien-3beta-ol",ergtrol,MNXM5738,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
zymosterol intermediate 1c,s,MNXM89471,
4beta-methylzymosterol-4alpha-carboxylic acid,s,MNXM37762,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@](C)(C(=O)[O-])[C@@H]1CC3
4alpha-methylzymosterol,4mzym,MNXM1804,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C)[C@@H]1CC3
zymosterol intermediate 1a,M00963,MNXM89469,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](CO)[C@@H]1CC3
zymosterol intermediate 1b,M00959,MNXM89470,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C=O)[C@@H]1CC3
14-demethyllanosterol,44mzym,MNXM913,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3
episterol,epist,MNXM52365,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)C
"ergosta-5,7,22,24(28)-tetraen-3beta-ol",ergtetrol,MNXM1109,C=C(/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
nonaprenyl diphosphate,s,MNXM968,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])O
O-acetylcarnitine,acrn,MNXM1028,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
ceramide-1 (C24),cer1_24,MNXM64020,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC
ceramide-1 (C26),cer1_26,MNXM63798,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC
tetracosanoyl-CoA,ttccoa,MNXM1504,CCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
ceramide-2 (C24),cer2_24,MNXM64019,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
ceramide-2 (C26),cer2_26,MNXM63797,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
ceramide-3 (C24),cer3_24,MNXM63174,CCCCCCCCCCCCCCCCCCCCCC[C@H](O)C(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
ceramide-3 (C26),cer3_26,MNXM63157,CCCCCCCCCCCCCCCCCCCCCCCC[C@H](O)C(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
chitin,chtn,MNXM1271,*O[C@@H]1[C@@H](CO)O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O[C@@H]4[C@@H](CO)O[C@@H](O*)[C@H]([NH3+])[C@H]4O)[C@H]([NH3+])[C@H]3O)[C@H](NC(C)=O)[C@H]2O)[C@H](NC(C)=O)[C@H]1O
UDP-N-acetyl-alpha-D-glucosamine,uacgam,MNXM47,CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
choline,chol,MNXM90,C[N+](C)(C)CCO
choline phosphate,cholp,MNXM229,C[N+](C)(C)CCOP(=O)([O-])[O-]
5-O-(1-carboxyvinyl)-3-phosphoshikimic acid,3psme,MNXM1365,C=C(O[C@@H]1CC(C(=O)[O-])=C[C@@H](OP(=O)([O-])[O-])[C@H]1O)C(=O)[O-]
cis-aconitate,acon_C,MNXM813,O=C([O-])/C=C(/CC(=O)[O-])C(=O)[O-]
isocitrate,icit,MNXM89661,C(C(C(C(=O)O)O)C(=O)O)C(=O)O
farnesyl diphosphate,frdp,MNXM34,CC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C
geranylgeranyl diphosphate,ggdp,MNXM139,CC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C
pentaprenyl diphosphate,pendp,MNXM2210,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O
hexaprenyl diphosphate,hexdp,MNXM1067,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])O
heptaprenyl diphosphate,hepdp,MNXM1722,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])O
octaprenyl diphosphate,octdp,MNXM811,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O
decaprenyl diphosphate,decdp,MNXM1721,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])O
undecaprenyl diphosphate,udcpdp,MNXM5043,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)([O-])OP(=O)([O-])O
dodecaprenyl diphosphate,s,MNXM11433,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O
tridecaprenyl diphosphate,s,MNXM5721,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])O
tetradecaprenyl diphosphate,s,MNXM83846,
pentadecaprenyl diphosphate,s,MNXM73155,
hexadecaprenyl diphosphate,s,MNXM56347,
heptadecaprenyl diphosphate,s,MNXM56121,
octadecaprenyl diphosphate,s,MNXM65303,
nonadecaprenyl diphosphate,s,MNXM64863,
icosaprenyl diphosphate,s,MNXM57076,
henicosaprenyl diphosphate,s,MNXM56060,
citrate,cit,MNXM131,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
