gene,contrib,d,h27,drug21_lfc,heat27_lfc,name,desc,KEGG
Mycgr3G36159,0.015988121691591518,-0.010493359612896,-1.52364183458867,-0.665883837689457,-1.52364183458867,,,
Mycgr3G66113,0.015979828174361346,0.011941362629582805,1.33819134968516,1.19396544177766,1.33819134968516,,Enoyl-(Acyl carrier protein) reductase,
Mycgr3G98580,0.015972374806340766,-0.015717220985059992,-1.01623402900063,-1.55668181516509,-1.01623402900063,,CFEM domain,
Mycgr3G42649,0.015915661761487454,0.020503611067816497,0.776237010585393,2.27139872339339,0.776237010585393,,,
Mycgr3G99007,0.015910939847967244,-0.01396635499696987,-1.13923352595715,-1.92758860994125,-1.13923352595715,,Haloacid dehalogenase-like hydrolase,
Mycgr3G109293,0.015903553894618325,0.02636644063195226,0.603174092271884,3.97760038761515,0.603174092271884,,Alpha/beta hydrolase family,
Mycgr3G58646,0.015872619895281177,-0.015704425238330003,-1.0107100167245,-0.458173349902797,-1.0107100167245,,Spc7 kinetochore protein,
Mycgr3G106182,0.015869481651909302,-0.017268444875295778,-0.918987306993241,-1.44045384847193,-0.918987306993241,HTB1,Belongs to the histone H2B family,map05034;map05203;map05322
Mycgr3G19110,0.015866117538663793,-0.01853938002536251,-0.855806263044309,-1.54539422002348,-0.855806263044309,,Ribosomal_L40e,map03010
Mycgr3G75563,0.01584302632872642,-0.018103266381146288,-0.875147390264676,-0.953441829361428,-0.875147390264676,DBP10,DBP10CT (NUC160) domain,
Mycgr3G96784,0.01581765272066435,0.009350624640560867,1.69161455289853,1.594325601527,1.69161455289853,,,
Mycgr3G89182,0.01581205546045181,0.005335421075249371,2.96360029273093,1.09252350887269,2.96360029273093,,Protein kinase domain,
Mycgr3G87000,0.015796412660445788,-0.01742694936277521,-0.906435907490939,-1.54215823415053,-0.906435907490939,ade1,"Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain",map00230;map01100;map01110;map01130
Mycgr3G31509,0.015786221200062973,-0.01769484775318451,-0.892136593671565,-1.48676720512829,-0.892136593671565,NOP13,Pfam:RRM_6,
Mycgr3G19839,0.01577204647574015,-0.019422057924633022,-0.812068758982355,-1.32482581171961,-0.812068758982355,,C-5 cytosine-specific DNA methylase,
Mycgr3G45946,0.015769453738619595,0.006697921798861336,2.35438009164282,1.36021564158987,2.35438009164282,,,
Mycgr3G73131,0.01576265335316019,0.011993015982546632,1.31431938188855,1.13962636927429,1.31431938188855,,Zinc-binding dehydrogenase,
Mycgr3G26468,0.015743512063895248,0.011532717712459204,1.36511726519474,1.25356249583773,1.36511726519474,ABZ2,Amino-transferase class IV,map00790
Mycgr3G102281,0.01573511892797313,-0.021145378505004954,-0.744139856576639,-1.86305974073851,-0.744139856576639,rpl15,Belongs to the eukaryotic ribosomal protein eL15 family,map03010
Mycgr3G68234,0.01570870843228241,0.021336679152070055,0.73623024090693,1.52108409501596,0.73623024090693,,Belongs to the group II decarboxylase family,map00250;map00410;map00430;map00650;map01100;map01110;map01120;map02024;map04727;map04940
