EFMGRG_id_original,Mycgr3G_id,match_confidence
Mycgr3G101931,Mycgr3G101931,unique
Mycgr3G101933,Mycgr3G101933,unique
Mycgr3G101983,Mycgr3G101983,unique
Mycgr3G98127,Mycgr3G101989,ambiguous
Mycgr3G101995,Mycgr3G101995,unique
Mycgr3G101997,Mycgr3G101997,unique
Mycgr3G102005,Mycgr3G102005,unique
Mycgr3G102012,Mycgr3G102012,unique
Mycgr3G102016,Mycgr3G102016,unique
Mycgr3G102019,Mycgr3G102019,unique
Mycgr3G102020,Mycgr3G102020,unique
Mycgr3G102025,Mycgr3G102025,unique
Mycgr3G102027,Mycgr3G102027,unique
Mycgr3G102031,Mycgr3G102031,unique
Mycgr3G102033,Mycgr3G102033,unique
Mycgr3G102037,Mycgr3G102037,unique
Mycgr3G102047,Mycgr3G102047,unique
Mycgr3G102049,Mycgr3G102049,unique
Mycgr3G102052,Mycgr3G102052,unique
Mycgr3G102063,Mycgr3G102063,unique
Mycgr3G102064,Mycgr3G102064,unique
Mycgr3G102067,Mycgr3G102067,unique
Mycgr3G102068,Mycgr3G102068,unique
Mycgr3G102072,Mycgr3G102072,unique
Mycgr3G102079,Mycgr3G102079,unique
Mycgr3G102083,Mycgr3G102083,unique
Mycgr3G102085,Mycgr3G102085,unique
Mycgr3G102108,Mycgr3G102108,unique
Mycgr3G102119,Mycgr3G102119,unique
Mycgr3G102121,Mycgr3G102121,unique
Mycgr3G102125,Mycgr3G102125,unique
Mycgr3G102127,Mycgr3G102127,unique
Mycgr3G102131,Mycgr3G102131,unique
Mycgr3G102133,Mycgr3G102133,unique
Mycgr3G102134,Mycgr3G102134,unique
Mycgr3G102136,Mycgr3G102136,unique
Mycgr3G102139,Mycgr3G102139,unique
Mycgr3G102145,Mycgr3G102145,unique
Mycgr3G102147,Mycgr3G102147,unique
Mycgr3G102151,Mycgr3G102151,unique
Mycgr3G102155,Mycgr3G102155,unique
Mycgr3G102157,Mycgr3G102157,unique
Mycgr3G102163,Mycgr3G102163,unique
Mycgr3G102165,Mycgr3G102165,unique
Mycgr3G102170,Mycgr3G102170,unique
Mycgr3G102173,Mycgr3G102173,unique
Mycgr3G102176,Mycgr3G102176,unique
Mycgr3G102177,Mycgr3G102177,unique
Mycgr3G102184,Mycgr3G102184,unique
Mycgr3G102189,Mycgr3G102189,unique
Mycgr3G102191,Mycgr3G102191,unique
Mycgr3G102197,Mycgr3G102197,unique
Mycgr3G102202,Mycgr3G102202,unique
Mycgr3G102204,Mycgr3G102204,unique
Mycgr3G102206,Mycgr3G102206,unique
Mycgr3G102207,Mycgr3G102207,unique
Mycgr3G102217,Mycgr3G102217,unique
Mycgr3G102223,Mycgr3G102223,unique
Mycgr3G102228,Mycgr3G102228,unique
Mycgr3G102248,Mycgr3G102248,unique
Mycgr3G102252,Mycgr3G102252,unique
Mycgr3G102254,Mycgr3G102254,unique
Mycgr3G102256,Mycgr3G102256,unique
Mycgr3G102270,Mycgr3G102270,unique
Mycgr3G102272,Mycgr3G102272,unique
Mycgr3G102274,Mycgr3G102274,unique
Mycgr3G102276,Mycgr3G102276,unique
Mycgr3G102281,Mycgr3G102281,unique
Mycgr3G102294,Mycgr3G102294,unique
Mycgr3G102303,Mycgr3G102303,unique
Mycgr3G102306,Mycgr3G102306,unique
Mycgr3G102314,Mycgr3G102314,unique
Mycgr3G102318,Mycgr3G102318,unique
Mycgr3G102326,Mycgr3G102326,unique
Mycgr3G102341,Mycgr3G102341,unique
Mycgr3G102345,Mycgr3G102345,unique
Mycgr3G102352,Mycgr3G102352,unique
Mycgr3G102358,Mycgr3G102358,unique
Mycgr3G102360,Mycgr3G102360,unique
Mycgr3G102365,Mycgr3G102365,unique
Mycgr3G102369,Mycgr3G102369,unique
Mycgr3G102375,Mycgr3G102375,unique
Mycgr3G102377,Mycgr3G102377,unique
Mycgr3G102381,Mycgr3G102381,unique
Mycgr3G102384,Mycgr3G102384,unique
Mycgr3G102387,Mycgr3G102387,unique
Mycgr3G102388,Mycgr3G102388,unique
Mycgr3G102398,Mycgr3G102398,unique
Mycgr3G102406,Mycgr3G102406,unique
Mycgr3G102408,Mycgr3G102408,unique
Mycgr3G102412,Mycgr3G102412,unique
Mycgr3G102416,Mycgr3G102416,unique
Mycgr3G102427,Mycgr3G102427,unique
Mycgr3G102437,Mycgr3G102437,unique
Mycgr3G102441,Mycgr3G102441,unique
Mycgr3G102469,Mycgr3G102469,unique
Mycgr3G102471,Mycgr3G102471,unique
Mycgr3G102473,Mycgr3G102473,unique
Mycgr3G102480,Mycgr3G102480,unique
Mycgr3G102481,Mycgr3G102481,unique
Mycgr3G102488,Mycgr3G102488,unique
Mycgr3G102491,Mycgr3G102491,unique
Mycgr3G102499,Mycgr3G102499,unique
Mycgr3G102502,Mycgr3G102502,unique
Mycgr3G102508,Mycgr3G102508,unique
Mycgr3G98127,Mycgr3G102513,ambiguous
Mycgr3G102517,Mycgr3G102517,unique
Mycgr3G102519,Mycgr3G102519,unique
Mycgr3G102520,Mycgr3G102520,unique
Mycgr3G102522,Mycgr3G102522,unique
Mycgr3G102524,Mycgr3G102524,unique
Mycgr3G102525,Mycgr3G102525,unique
Mycgr3G102530,Mycgr3G102530,unique
Mycgr3G102532,Mycgr3G102532,unique
Mycgr3G102534,Mycgr3G102534,unique
Mycgr3G102540,Mycgr3G102540,unique
Mycgr3G102541,Mycgr3G102541,unique
Mycgr3G102552,Mycgr3G102552,unique
Mycgr3G102569,Mycgr3G102569,unique
Mycgr3G102570,Mycgr3G102570,unique
Mycgr3G102581,Mycgr3G102581,unique
Mycgr3G102585,Mycgr3G102585,unique
Mycgr3G102589,Mycgr3G102589,unique
Mycgr3G102601,Mycgr3G102601,unique
Mycgr3G102602,Mycgr3G102602,unique
Mycgr3G102611,Mycgr3G102611,unique
Mycgr3G102612,Mycgr3G102612,unique
Mycgr3G102615,Mycgr3G102615,unique
Mycgr3G102617,Mycgr3G102617,unique
Mycgr3G102625,Mycgr3G102625,unique
Mycgr3G102643,Mycgr3G102643,unique
Mycgr3G102646,Mycgr3G102646,unique
Mycgr3G102649,Mycgr3G102649,unique
Mycgr3G102657,Mycgr3G102657,unique
Mycgr3G102658,Mycgr3G102658,unique
Mycgr3G102682,Mycgr3G102682,unique
Mycgr3G102685,Mycgr3G102685,unique
Mycgr3G102690,Mycgr3G102690,unique
Mycgr3G102692,Mycgr3G102692,unique
Mycgr3G102703,Mycgr3G102703,unique
Mycgr3G102715,Mycgr3G102715,unique
Mycgr3G102720,Mycgr3G102720,unique
Mycgr3G102722,Mycgr3G102722,unique
Mycgr3G102724,Mycgr3G102724,unique
Mycgr3G102725,Mycgr3G102725,unique
Mycgr3G102737,Mycgr3G102737,unique
