"File","Time","T","Dose","Replicate","Oxygen"
"sham_15_Oxygen.csv",274.75,15,"Control","R1",11.85
"sham_15_Oxygen.csv",275.75,15,"Control","R1",11.83
"sham_15_Oxygen.csv",276.75,15,"Control","R1",11.85
"sham_15_Oxygen.csv",277.77,15,"Control","R1",11.83
"sham_15_Oxygen.csv",278.77,15,"Control","R1",11.85
"sham_15_Oxygen.csv",279.77,15,"Control","R1",11.83
"sham_15_Oxygen.csv",280.77,15,"Control","R1",11.85
"sham_15_Oxygen.csv",281.77,15,"Control","R1",11.82
"sham_15_Oxygen.csv",282.77,15,"Control","R1",11.85
"sham_15_Oxygen.csv",283.77,15,"Control","R1",11.82
"sham_15_Oxygen.csv",284.77,15,"Control","R1",11.82
"sham_15_Oxygen.csv",285.77,15,"Control","R1",11.85
"sham_15_Oxygen.csv",286.78,15,"Control","R1",11.85
"sham_15_Oxygen.csv",287.78,15,"Control","R1",11.83
"sham_15_Oxygen.csv",288.78,15,"Control","R1",11.82
"sham_15_Oxygen.csv",289.78,15,"Control","R1",11.82
"sham_15_Oxygen.csv",290.78,15,"Control","R1",11.82
"sham_15_Oxygen.csv",291.78,15,"Control","R1",11.82
"sham_15_Oxygen.csv",292.8,15,"Control","R1",11.83
"sham_15_Oxygen.csv",293.8,15,"Control","R1",11.83
"sham_15_Oxygen.csv",294.8,15,"Control","R1",11.83
"sham_15_Oxygen.csv",295.8,15,"Control","R1",11.83
"sham_15_Oxygen.csv",296.8,15,"Control","R1",11.83
"sham_15_Oxygen.csv",297.8,15,"Control","R1",11.83
"sham_15_Oxygen.csv",298.8,15,"Control","R1",11.82
"sham_15_Oxygen.csv",299.8,15,"Control","R1",11.83
"sham_15_Oxygen.csv",300.82,15,"Control","R1",11.82
"sham_15_Oxygen.csv",301.82,15,"Control","R1",11.82
"sham_15_Oxygen.csv",302.83,15,"Control","R1",11.8
"sham_15_Oxygen.csv",303.83,15,"Control","R1",11.8
"sham_15_Oxygen.csv",304.85,15,"Control","R1",11.8
"sham_15_Oxygen.csv",305.85,15,"Control","R1",11.8
"sham_15_Oxygen.csv",306.85,15,"Control","R1",11.82
"sham_15_Oxygen.csv",307.85,15,"Control","R1",11.82
"sham_15_Oxygen.csv",308.85,15,"Control","R1",11.8
"sham_15_Oxygen.csv",309.85,15,"Control","R1",11.8
"sham_15_Oxygen.csv",310.87,15,"Control","R1",11.82
"sham_15_Oxygen.csv",311.87,15,"Control","R1",11.8
"sham_15_Oxygen.csv",312.87,15,"Control","R1",11.8
"sham_15_Oxygen.csv",313.87,15,"Control","R1",11.82
"sham_15_Oxygen.csv",314.87,15,"Control","R1",11.8
"sham_15_Oxygen.csv",315.87,15,"Control","R1",11.82
"sham_15_Oxygen.csv",316.87,15,"Control","R1",11.77
"sham_15_Oxygen.csv",317.87,15,"Control","R1",11.8
"sham_15_Oxygen.csv",318.88,15,"Control","R1",11.8
"sham_15_Oxygen.csv",319.88,15,"Control","R1",11.8
"sham_15_Oxygen.csv",320.88,15,"Control","R1",11.8
"sham_15_Oxygen.csv",321.88,15,"Control","R1",11.8
"sham_15_Oxygen.csv",322.88,15,"Control","R1",11.8
"sham_15_Oxygen.csv",323.88,15,"Control","R1",11.8
"sham_15_Oxygen.csv",324.9,15,"Control","R1",11.78
"sham_15_Oxygen.csv",325.9,15,"Control","R1",11.78
"sham_15_Oxygen.csv",326.9,15,"Control","R1",11.78
"sham_15_Oxygen.csv",327.92,15,"Control","R1",11.8
"sham_15_Oxygen.csv",328.92,15,"Control","R1",11.8
"sham_15_Oxygen.csv",329.92,15,"Control","R1",11.82
"sham_15_Oxygen.csv",330.92,15,"Control","R1",11.8
"sham_15_Oxygen.csv",331.92,15,"Control","R1",11.78
"sham_15_Oxygen.csv",332.93,15,"Control","R1",11.75
"sham_15_Oxygen.csv",333.93,15,"Control","R1",11.78
"sham_15_Oxygen.csv",334.93,15,"Control","R1",11.78
"sham_15_Oxygen.csv",335.93,15,"Control","R1",11.8
"sham_15_Oxygen.csv",336.93,15,"Control","R1",11.8
"sham_15_Oxygen.csv",337.93,15,"Control","R1",11.78
"sham_15_Oxygen.csv",338.93,15,"Control","R1",11.8
"sham_15_Oxygen.csv",339.95,15,"Control","R1",11.77
"sham_15_Oxygen.csv",340.95,15,"Control","R1",11.75
"sham_15_Oxygen.csv",341.95,15,"Control","R1",11.78
"sham_15_Oxygen.csv",342.95,15,"Control","R1",11.78
"sham_15_Oxygen.csv",343.95,15,"Control","R1",11.8
"sham_15_Oxygen.csv",344.95,15,"Control","R1",11.8
"sham_15_Oxygen.csv",345.97,15,"Control","R1",11.78
"sham_15_Oxygen.csv",346.97,15,"Control","R1",11.78
"sham_15_Oxygen.csv",347.97,15,"Control","R1",11.78
"sham_15_Oxygen.csv",348.97,15,"Control","R1",11.77
"sham_15_Oxygen.csv",349.98,15,"Control","R1",11.78
"sham_15_Oxygen.csv",350.98,15,"Control","R1",11.78
"sham_15_Oxygen.csv",351.98,15,"Control","R1",11.8
"sham_15_Oxygen.csv",352.98,15,"Control","R1",11.77
"sham_15_Oxygen.csv",353.98,15,"Control","R1",11.77
"sham_15_Oxygen.csv",354.98,15,"Control","R1",11.75
"sham_15_Oxygen.csv",355.98,15,"Control","R1",11.73
"sham_15_Oxygen.csv",356.98,15,"Control","R1",11.75
"sham_15_Oxygen.csv",358,15,"Control","R1",11.77
"sham_15_Oxygen.csv",359,15,"Control","R1",11.78
"sham_15_Oxygen.csv",360,15,"Control","R1",11.78
"sham_15_Oxygen.csv",361,15,"Control","R1",11.77
"sham_15_Oxygen.csv",362,15,"Control","R1",11.75
"sham_15_Oxygen.csv",363,15,"Control","R1",11.77
"sham_15_Oxygen.csv",364,15,"Control","R1",11.77
"sham_15_Oxygen.csv",365.02,15,"Control","R1",11.75
"sham_15_Oxygen.csv",366.02,15,"Control","R1",11.77
"sham_15_Oxygen.csv",367.02,15,"Control","R1",11.78
"sham_15_Oxygen.csv",368.02,15,"Control","R1",11.77
"sham_15_Oxygen.csv",369.02,15,"Control","R1",11.75
"sham_15_Oxygen.csv",370.03,15,"Control","R1",11.77
"sham_15_Oxygen.csv",371.03,15,"Control","R1",11.75
"sham_15_Oxygen.csv",372.03,15,"Control","R1",11.77
"sham_15_Oxygen.csv",373.03,15,"Control","R1",11.77
"sham_15_Oxygen.csv",374.03,15,"Control","R1",11.75
"sham_15_Oxygen.csv",375.03,15,"Control","R1",11.75
"sham_15_Oxygen.csv",376.03,15,"Control","R1",11.73
"sham_15_Oxygen.csv",377.03,15,"Control","R1",11.75
"sham_15_Oxygen.csv",378.05,15,"Control","R1",11.75
"sham_15_Oxygen.csv",379.05,15,"Control","R1",11.75
"sham_15_Oxygen.csv",380.05,15,"Control","R1",11.77
"sham_15_Oxygen.csv",381.07,15,"Control","R1",11.77
"sham_15_Oxygen.csv",382.07,15,"Control","R1",11.75
"sham_15_Oxygen.csv",383.07,15,"Control","R1",11.73
"sham_15_Oxygen.csv",384.07,15,"Control","R1",11.73
"sham_15_Oxygen.csv",385.07,15,"Control","R1",11.75
"sham_15_Oxygen.csv",386.07,15,"Control","R1",11.77
"sham_15_Oxygen.csv",387.08,15,"Control","R1",11.75
"sham_15_Oxygen.csv",388.08,15,"Control","R1",11.75
"sham_15_Oxygen.csv",389.08,15,"Control","R1",11.75
"sham_15_Oxygen.csv",390.08,15,"Control","R1",11.73
"sham_15_Oxygen.csv",391.08,15,"Control","R1",11.75
"sham_15_Oxygen.csv",392.08,15,"Control","R1",11.73
"sham_15_Oxygen.csv",393.08,15,"Control","R1",11.73
"sham_15_Oxygen.csv",394.1,15,"Control","R1",11.73
"sham_15_Oxygen.csv",395.1,15,"Control","R1",11.75
"sham_15_Oxygen.csv",396.1,15,"Control","R1",11.73
"sham_15_Oxygen.csv",397.1,15,"Control","R1",11.75
"sham_15_Oxygen.csv",398.1,15,"Control","R1",11.73
"sham_15_Oxygen.csv",399.1,15,"Control","R1",11.73
"sham_15_Oxygen.csv",400.12,15,"Control","R1",11.73
"sham_15_Oxygen.csv",401.12,15,"Control","R1",11.75
"sham_15_Oxygen.csv",402.12,15,"Control","R1",11.75
"sham_15_Oxygen.csv",403.12,15,"Control","R1",11.72
"sham_15_Oxygen.csv",404.12,15,"Control","R1",11.73
"sham_15_Oxygen.csv",405.12,15,"Control","R1",11.7
"sham_15_Oxygen.csv",406.13,15,"Control","R1",11.72
"sham_15_Oxygen.csv",407.13,15,"Control","R1",11.7
"sham_15_Oxygen.csv",408.13,15,"Control","R1",11.75
"sham_15_Oxygen.csv",409.13,15,"Control","R1",11.73
"sham_15_Oxygen.csv",410.13,15,"Control","R1",11.7
"sham_15_Oxygen.csv",411.13,15,"Control","R1",11.73
"sham_15_Oxygen.csv",412.13,15,"Control","R1",11.7
"sham_15_Oxygen.csv",413.15,15,"Control","R1",11.72
"sham_15_Oxygen.csv",414.15,15,"Control","R1",11.72
"sham_15_Oxygen.csv",415.15,15,"Control","R1",11.73
"sham_15_Oxygen.csv",416.15,15,"Control","R1",11.72
"sham_15_Oxygen.csv",417.15,15,"Control","R1",11.73
"sham_15_Oxygen.csv",418.15,15,"Control","R1",11.72
"sham_15_Oxygen.csv",419.17,15,"Control","R1",11.7
"sham_15_Oxygen.csv",420.17,15,"Control","R1",11.7
"sham_15_Oxygen.csv",421.17,15,"Control","R1",11.72
"sham_15_Oxygen.csv",422.17,15,"Control","R1",11.72
"sham_15_Oxygen.csv",423.18,15,"Control","R1",11.75
"sham_15_Oxygen.csv",424.18,15,"Control","R1",11.73
"sham_15_Oxygen.csv",425.18,15,"Control","R1",11.72
"sham_15_Oxygen.csv",426.18,15,"Control","R1",11.7
"sham_15_Oxygen.csv",427.18,15,"Control","R1",11.72
"sham_15_Oxygen.csv",428.18,15,"Control","R1",11.72
"sham_15_Oxygen.csv",429.2,15,"Control","R1",11.72
"sham_15_Oxygen.csv",430.2,15,"Control","R1",11.72
"sham_15_Oxygen.csv",431.2,15,"Control","R1",11.73
"sham_15_Oxygen.csv",432.2,15,"Control","R1",11.73
"sham_15_Oxygen.csv",433.2,15,"Control","R1",11.72
"sham_15_Oxygen.csv",434.2,15,"Control","R1",11.7
